生,なま,raw; uncooked; fresh; natural,<ruby>彼<rt>かれ</rt></ruby>は <ruby>生<rt>なま</rt></ruby>の <ruby>魚<rt>さかな</rt></ruby>が <ruby>食<rt>た</rt></ruby>べられません。,He can't eat raw fish.
全員,ぜんいん,all members; everyone,チーム <ruby>全員<rt>ぜんいん</rt></ruby>に <ruby>名札<rt>なふだ</rt></ruby>が <ruby>配<rt>くば</rt></ruby>られました。,The name tags were distributed to all members of the team.
共通,きょうつう,common; shared,この寮のキチンは共通のエリアです。,This dorm's kitchen is a shared area.
内容,ないよう,contents; substance; details,この <ruby>本<rt>ほん</rt></ruby>の <ruby>内容<rt>ないよう</rt></ruby>を <ruby>説明<rt>せつめい</rt></ruby>してください。,Please explain the content of this book.
冗談,じょうだん,joke,冗談を言う,to tell a joke
分,ぶん,part; segment; share,家事について自分の分がもうできました。,As for housework; I already finished my part.
～分の～,～ぶんの～,expresses a fraction/portion where the first ～ is the denominator,4分の1,1/4
分野,ぶんや,field; area; realm,専門分野,area of specialty
刑事,けいじ,(police) detective,<ruby>刑事<rt>けいじ</rt></ruby>が <ruby>現場<rt>げんば</rt></ruby>を <ruby>調<rt>しら</rt></ruby>べているわ。,The detective is investigating the crime scene.
到着,とうちゃく,arrival,電車が駅に到着しました。,The train arrived at the station.
努力,どりょく,effort; exertion; hard work,もっと <ruby>努力<rt>どりょく</rt></ruby>しよう。,Let's try harder.
効果,こうか,effect; efficacy,薬の効果,efficacy/effects of medicine
協力,きょうりょく,cooperation; collaboration,このプロジェクトにはみんなの <ruby>協力<rt>きょうりょく</rt></ruby>が <ruby>必要<rt>ひつよう</rt></ruby>です。,This project requires everyone's cooperation.
単語,たんご,word; vocabulary,<ruby>日本語<rt>にほんご</rt></ruby>の <ruby>単語<rt>たんご</rt></ruby>をいくつ <ruby>知<rt>し</rt></ruby>っていますか。,How many Japanese words do you know?
占める,しめる,to occupy; to hold; to comprise; to make up,<ruby>私<rt>わたし</rt></ruby>に <ruby>届<rt>とど</rt></ruby>くメールのうち、 <ruby>迷惑<rt>めいわく</rt></ruby>メールが７ <ruby>割<rt>わり</rt></ruby>を <ruby>占<rt>し</rt></ruby>めている。,About 70 percent of emails sent to me are junk mail.
印象,いんしょう,impression,印象を与える,to make an impression
友人,ゆうじん,friend,<ruby>彼<rt>かれ</rt></ruby>は <ruby>高校<rt>こうこう</rt></ruby> <ruby>時代<rt>じだい</rt></ruby>からの <ruby>友人<rt>ゆうじん</rt></ruby>です。,He's my old friend from high school.
双子,ふたご,twins,<ruby>友達<rt>ともだち</rt></ruby>に <ruby>双子<rt>ふたご</rt></ruby>が <ruby>生<rt>う</rt></ruby>まれたよ。,My friend gave birth to twins.
収穫,しゅうかく,harvest; crop,お <ruby>米<rt>こめ</rt></ruby>の <ruby>収穫<rt>しゅうかく</rt></ruby>が <ruby>始<rt>はじ</rt></ruby>まったね。,The rice harvest has started.
叫ぶ,さけぶ,to shout; to cry; to yell; to clamour,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>助<rt>たす</rt></ruby>けを <ruby>求<rt>もと</rt></ruby>めて <ruby>大声<rt>おおごえ</rt></ruby>で <ruby>叫<rt>さけ</rt></ruby>んだの。,She cried out for help.
同僚,どうりょう,coworker; colleague,,
味方,みかた,friend; ally; supporter,<ruby>母<rt>はは</rt></ruby>はいつも <ruby>私<rt>わたし</rt></ruby>の <ruby>味方<rt>みかた</rt></ruby>です。,My mother is always on my side.
品,しな,article; item; good,そちらの <ruby>品<rt>しな</rt></ruby>は <ruby>半額<rt>はんがく</rt></ruby>になっています。,Those goods are half-price.
ただ,ただ,ordinary; common; usual | only; merely | but; however,この <ruby>温泉<rt>おんせん</rt></ruby>はただです。,This hot spring bathhouse is free.
商品,しょうひん,good; merchandise,この <ruby>商品<rt>しょうひん</rt></ruby>はよく <ruby>売<rt>う</rt></ruby>れている。,This product is selling well.
国民,こくみん,people (of a country); citizen,<ruby>国民<rt>こくみん</rt></ruby>の <ruby>安全<rt>あんぜん</rt></ruby>が <ruby>最<rt>もっと</rt></ruby>も <ruby>大切<rt>たいせつ</rt></ruby>です。,Citizen safety is most important.
地域,ちいき,area; region,この <ruby>地域<rt>ちいき</rt></ruby>は <ruby>雨<rt>あめ</rt></ruby>が <ruby>多<rt>おお</rt></ruby>い。,There's a lot of rain in this region.
地方,ちほう,district; region | countryside; rural area,この <ruby>地方<rt>ちほう</rt></ruby>は <ruby>漁業<rt>ぎょぎょう</rt></ruby>が <ruby>盛<rt>さか</rt></ruby>んです。,The fishing industry is flourishing in this region.
報告,ほうこく,report; information,毎週に進歩を報告します。,I report my progress every week.
変更,へんこう,change; alteration,<ruby>予定<rt>よてい</rt></ruby>が <ruby>変更<rt>へんこう</rt></ruby>になりました。,The schedule has been changed.
夜中,よなか,middle of the night,<ruby>夜中<rt>よなか</rt></ruby>に <ruby>電話<rt>でんわ</rt></ruby>がありました。,I got a phone call in the middle of the night.
夢中,むちゅう,daze; engrossment; obsessed with; hooked on,ジャズに夢中です。,I am obsessed with Jazz.
大統領,だいとうりょう,president (of a country),フランスの <ruby>大統領<rt>だいとうりょう</rt></ruby>は <ruby>誰<rt>だれ</rt></ruby>ですか。,Who's the president of France?
太陽,たいよう,sun,<ruby>太陽<rt>たいよう</rt></ruby>が <ruby>雲<rt>くも</rt></ruby>に <ruby>隠<rt>かく</rt></ruby>れた。,The sun hid behind the clouds.
失う,うしなう,to lose,意識を失う,to lose conciousness
契約,けいやく,contract,その <ruby>選手<rt>せんしゅ</rt></ruby>は <ruby>新<rt>あたら</rt></ruby>しいチームと <ruby>契約<rt>けいやく</rt></ruby>した。,The player signed a contract with a new team.
奥,おく,inside; interior; depths; back,クロゼットの奥に布団がありました。,The futon was at the back of the closet.
好み,このみ,liking; taste,<ruby>姉<rt>あね</rt></ruby>と <ruby>私<rt>わたし</rt></ruby>は <ruby>服<rt>ふく</rt></ruby>の <ruby>好<rt>この</rt></ruby>みが <ruby>似<rt>に</rt></ruby>ています。,My elder sister and I have the same taste in clothes.
委員,いいん,committee member,<ruby>彼<rt>かれ</rt></ruby>は <ruby>委員<rt>いいん</rt></ruby>に <ruby>選<rt>えら</rt></ruby>ばれました。,He was elected to the committee.
嫌う,きらう,to hate; to dislike,<ruby>父<rt>ちち</rt></ruby>はラッシュアワーを <ruby>嫌<rt>きら</rt></ruby>っています。,My father hates rush hour.
孫,まご,grandchild,<ruby>昨日<rt>きのう</rt></ruby>、 <ruby>孫<rt>まご</rt></ruby>が <ruby>生<rt>う</rt></ruby>まれました。,My grandchild was born yesterday.
守る,まもる,to protect; to guard; to uphold; to follow,人を守る,to protect a person
完成,かんせい,completion; accomplishment,レポートを完成しました。,I finished the report.
実際,じっさい,practicality; reality; actual,実際の経験,actual experience
家事,かじ,housework; chores,<ruby>母<rt>はは</rt></ruby>は <ruby>毎日<rt>まいにち</rt></ruby>てきぱきと <ruby>家事<rt>かじ</rt></ruby>をしているよ。,My mother zips through housework every day.
家賃,やちん,rent,ここの <ruby>家賃<rt>やちん</rt></ruby>は１２ <ruby>万<rt>まん</rt></ruby> <ruby>円<rt>えん</rt></ruby>です。,The rent here is 120;000 yen.
宿泊,しゅくはく,lodging,<ruby>宿泊<rt>しゅくはく</rt></ruby> <ruby>先<rt>さき</rt></ruby>は <ruby>日本<rt>にほん</rt></ruby> <ruby>旅館<rt>りょかん</rt></ruby>です。,We will stay in a Japanese inn at the destination.
就職,しゅうしょく,finding employment,就職活動,job hunting
希望,きぼう,request; hope; aspiration,<ruby>彼<rt>かれ</rt></ruby>は <ruby>本社<rt>ほんしゃ</rt></ruby>で <ruby>働<rt>はたら</rt></ruby>くことを <ruby>希望<rt>きぼう</rt></ruby>しています。,He hopes to work at the the head office.
常識,じょうしき,common sense,そんなの <ruby>常識<rt>じょうしき</rt></ruby>だよ。,That is common sense.
幅,はば,width; range; gap; difference,幅が広い,have a large range
平和,へいわ,peace; harmony,この <ruby>国<rt>くに</rt></ruby>は <ruby>平和<rt>へいわ</rt></ruby>です。,This country is at peace.
平均,へいきん,average; mean; balance; equilibrium,平均年齢,average age
年月,としつき、ねんげつ,months and years,,
年齢,ねんれい,age; years,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>年齢<rt>ねんれい</rt></ruby>は２７です。,She's 27 years old.
広がる,ひろがる,to spread (out); to extend,<ruby>留学<rt>りゅうがく</rt></ruby>してから <ruby>私<rt>わたし</rt></ruby>の <ruby>世界<rt>せかい</rt></ruby>が <ruby>広<rt>ひろ</rt></ruby>がった。,My world expanded after studying abroad.
建設,けんせつ,construction; establishment,建物の建設が始まった。,Construction of the building started.
影響,えいきょう,influence; effect,私に影響がない。,There is no effect on me.
役,やく,use; service; role,お客様を案内する役,the role of guiding (giving directions to) customers
得る,える,to get; to obtain; to win,許可を得る,to obtain permission
得意,とくい,one's strong point; one's forte,<ruby>彼<rt>かれ</rt></ruby>は <ruby>歌<rt>うた</rt></ruby>が <ruby>得意<rt>とくい</rt></ruby>です。,He's good at singing.
徹夜,てつや,all night; sleepless night,ゆうべは <ruby>徹夜<rt>てつや</rt></ruby>しました。,I stayed up all last night.
快適,かいてき,pleasant; comfortable,24°Cは快適な温度です。,24C is a comfortable temperature.
急に,きゅうに,quickly; suddenly,<ruby>急<rt>きゅう</rt></ruby>に <ruby>用事<rt>ようじ</rt></ruby>を <ruby>思<rt>おも</rt></ruby>い <ruby>出<rt>だ</rt></ruby>した。,I suddenly remembered something I have to take care of.
性格,せいかく,character; personality,<ruby>僕<rt>ぼく</rt></ruby>と <ruby>姉<rt>あね</rt></ruby>の <ruby>性格<rt>せいかく</rt></ruby>は <ruby>正反対<rt>せいはんたい</rt></ruby>です。,My older sister and I have completely opposite personalities.
悩む,なやむ,to be worried; to be uncertain,どこに行くか悩んでいる。,I am uncertain about where to go.
悪口,わるくち、あっこう,insult; bad mouth,,
情報,じょうほう,information; news; data,新しい情報があれば教えてください。,If there is any new news; please let me know.
想像,そうぞう,imagination; guess,そんなことは <ruby>想像<rt>そうぞう</rt></ruby>できないよ。,I can't imagine such a thing.
愛情,あいじょう,love; affection,<ruby>子供<rt>こども</rt></ruby>はたくさんの <ruby>愛情<rt>あいじょう</rt></ruby>が <ruby>必要<rt>ひつよう</rt></ruby>です。,Children need a lot of love.
感謝,かんしゃ,thanks; gratitude,<ruby>家族<rt>かぞく</rt></ruby>に <ruby>感謝<rt>かんしゃ</rt></ruby>しています。,I'm grateful to my family.
態度,たいど,attitude,あの <ruby>男<rt>おとこ</rt></ruby>の <ruby>態度<rt>たいど</rt></ruby>にみんなあきれてたよ。,Everyone was tired of that man's attitude.
成功,せいこう,success,ついに <ruby>実験<rt>じっけん</rt></ruby>が <ruby>成功<rt>せいこう</rt></ruby>した。,The experiment finally succeeded.
成績,せいせき,results; grades,<ruby>成績<rt>せいせき</rt></ruby>が <ruby>上<rt>あ</rt></ruby>がりました。,His grades went up.
戻す,もどす,to return; to restore,<ruby>話<rt>はなし</rt></ruby>を <ruby>戻<rt>もど</rt></ruby>しましょう。,Let's get back to what we were talking about.
手伝い,てつだい,help,<ruby>会議<rt>かいぎ</rt></ruby>の <ruby>準備<rt>じゅんび</rt></ruby>に <ruby>手伝<rt>てつだ</rt></ruby>いが <ruby>必要<rt>ひつよう</rt></ruby>です。,We need help with preparation for the meeting.
手術,しゅじゅつ,surgery,<ruby>父<rt>ちち</rt></ruby>は <ruby>胸<rt>むね</rt></ruby>の <ruby>手術<rt>しゅじゅつ</rt></ruby>をした。,My father had a chest operation.
投票,とうひょう,voting,<ruby>私<rt>わたし</rt></ruby>は <ruby>朝<rt>あさ</rt></ruby> <ruby>早<rt>はや</rt></ruby>く <ruby>投票<rt>とうひょう</rt></ruby>を <ruby>済<rt>す</rt></ruby>ませました。,I voted early in the morning.
抜ける,ぬける,to come out; to fall out; to be omitted,髪の毛が抜けた,
抱く,いだく、だく,to embrace; to hug,,
指導,しどう,guidance; instruction,<ruby>彼<rt>かれ</rt></ruby>は <ruby>生徒<rt>せいと</rt></ruby>の <ruby>指導<rt>しどう</rt></ruby>が <ruby>上手<rt>じょうず</rt></ruby>ね。,He gives good instructions to his students.
描く,えがく,to draw; to paint; to sketch,<ruby>彼<rt>かれ</rt></ruby>は <ruby>人物<rt>じんぶつ</rt></ruby>を <ruby>描<rt>えが</rt></ruby>くのがうまいな。,He is good at drawing people.
援助,えんじょ,aid; support,その <ruby>国<rt>くに</rt></ruby>には <ruby>物資<rt>ぶっし</rt></ruby>の <ruby>援助<rt>えんじょ</rt></ruby>が <ruby>必要<rt>ひつよう</rt></ruby>です。,The country needs material aid.
操作,そうさ,operation; management,この <ruby>携帯<rt>けいたい</rt></ruby> <ruby>電話<rt>でんわ</rt></ruby>は <ruby>操作<rt>そうさ</rt></ruby>が <ruby>簡単<rt>かんたん</rt></ruby>です。,This cell-phone is easy to operate.
支払う,しはらう,to pay,カウンターで <ruby>料金<rt>りょうきん</rt></ruby>を <ruby>支払<rt>しはら</rt></ruby>った。,I paid the fee at the counter.
攻撃,こうげき,attack; strike; offensive,２００３ <ruby>年<rt>ねん</rt></ruby>にアメリカはイラクを <ruby>攻撃<rt>こうげき</rt></ruby>した。,The United States attacked Iraq in 2003.
故郷,こきょう、ふるさと,home town; birthplace,,
教師,きょうし,teacher (in school/classroom),<ruby>彼<rt>かれ</rt></ruby>は <ruby>高校<rt>こうこう</rt></ruby> <ruby>教師<rt>きょうし</rt></ruby>だ。,He's a high school teacher.
数（かず）,かず,number; amount,,
数（すう）,すう,several; a few | quantity; amount,鞄に本は数冊入っています。,A few books are in the bag.
数える,かぞえる,to count,数えられないほど人がいた。,There were more people than I could count.
文句,もんく,complaint,<ruby>彼女<rt>かのじょ</rt></ruby>はいつも <ruby>文句<rt>もんく</rt></ruby>ばかり <ruby>言<rt>い</rt></ruby>う。,She does nothing but complain.
断る,ことわる,to decline; to refuse,<ruby>私<rt>わたし</rt></ruby>は <ruby>彼<rt>かれ</rt></ruby>のプロポーズを <ruby>断<rt>ことわ</rt></ruby>った。,I turned down his marriage proposal.
新鮮,しんせん,fresh,この <ruby>店<rt>みせ</rt></ruby>では <ruby>新鮮<rt>しんせん</rt></ruby>な <ruby>野菜<rt>やさい</rt></ruby>が <ruby>買<rt>か</rt></ruby>えますよ。,You can buy fresh vegetables at this store.
方々,かたがた,(hon) they; you (plural people),<ruby>大勢<rt>おおぜい</rt></ruby>の <ruby>方々<rt>かたがた</rt></ruby>にご <ruby>出席<rt>しゅっせき</rt></ruby>いただきました。,It was attended by a great number of people.
方法,ほうほう,method; way; process,日本語を覚えやすくする方法は知っていますか？,Do you know a way to make Japanese easy to memorize?
時期,じき,time; season,<ruby>今<rt>いま</rt></ruby>はあなたにとって <ruby>大事<rt>だいじ</rt></ruby>な <ruby>時期<rt>じき</rt></ruby>です。,It's an important time for you now.
最高,さいこう,most; highest; best; finest,これまでで <ruby>最高<rt>さいこう</rt></ruby>の <ruby>結果<rt>けっか</rt></ruby>が <ruby>出<rt>で</rt></ruby>たよ。,I've got the best results.
期待,きたい,expectation; anticipation,みんな <ruby>私<rt>わたし</rt></ruby>たちに <ruby>期待<rt>きたい</rt></ruby>しています。,Everyone has high expectations of us.
条件,じょうけん,condition; requirement; prerequisite,この <ruby>条件<rt>じょうけん</rt></ruby>では <ruby>厳<rt>きび</rt></ruby>しすぎます。,It's too harsh under these conditions.
栄養,えいよう,nutrition,栄養士,nutritionist
根,ね,root (of a plant; tooth; hair; etc.),この <ruby>木<rt>き</rt></ruby>の <ruby>根<rt>ね</rt></ruby>はとても <ruby>太<rt>ふと</rt></ruby>いな。,The roots of this tree are very thick.
検査,けんさ,inspection; examination,<ruby>私<rt>わたし</rt></ruby>は <ruby>今日<rt>きょう</rt></ruby>、 <ruby>目<rt>め</rt></ruby>の <ruby>検査<rt>けんさ</rt></ruby>を <ruby>受<rt>う</rt></ruby>けます。,I have an eye exam today.
極,きょく,extreme; zenith; pole,,
様子,ようす,state; situation; appearance,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>様子<rt>ようす</rt></ruby>を <ruby>見<rt>み</rt></ruby>てきます。,I'm going to see how she's doing.
機嫌,きげん,mood; spirits | be in a good mood,機嫌が良い,to be in a good mood
機能,きのう,function; feature,このソフトにはいろいろな <ruby>機能<rt>きのう</rt></ruby>があります。,This software has a variety of features.
欠席,けっせき,absence; non-attendance,お客様を訪問するので、会議は欠席させてください。,Please let me be absent from the meeting because I will see a customer.
歌手,かしゅ,singer,その <ruby>歌手<rt>かしゅ</rt></ruby>は <ruby>歌<rt>うた</rt></ruby>が <ruby>下手<rt>へた</rt></ruby>だ。,That singer's terrible.
正直,しょうじき,honesty; frankness,<ruby>彼女<rt>かのじょ</rt></ruby>はとても <ruby>正直<rt>しょうじき</rt></ruby>だ。,She's very honest.
正確,せいかく,accurate; correct; exact,<ruby>彼<rt>かれ</rt></ruby>の <ruby>計算<rt>けいさん</rt></ruby>は <ruby>正確<rt>せいかく</rt></ruby>です。,His calculation is accurate.
残り,のこり,remaining; left-over,<ruby>仕事<rt>しごと</rt></ruby>の <ruby>残<rt>のこ</rt></ruby>りは <ruby>家<rt>いえ</rt></ruby>でします。,I'll do the rest of the work at home.
気に入る,きにいる,to be pleased with,<ruby>新<rt>あたら</rt></ruby>しい <ruby>靴<rt>くつ</rt></ruby>がとても <ruby>気<rt>き</rt></ruby>に <ruby>入<rt>い</rt></ruby>りました。,I really like my new shoes.
気候,きこう,climate,<ruby>日本<rt>にっぽん</rt></ruby>の <ruby>気候<rt>きこう</rt></ruby>は <ruby>温暖<rt>おんだん</rt></ruby>です。,The climate in Japan is temperate.
決心,けっしん,decision; resolution,<ruby>今度<rt>こんど</rt></ruby>こそタバコをやめる <ruby>決心<rt>けっしん</rt></ruby>をしました。,This time I'm determined to quit smoking.
泥,どろ,mud; slush,<ruby>靴<rt>くつ</rt></ruby>が <ruby>泥<rt>どろ</rt></ruby>だらけになったよ。,My shoes were covered in mud.
注ぐ,そそぐ,to pour (into a container); to water (e.g. plants) | to flow into (e.g. a river),みんなのグラスにジュースを <ruby>注<rt>そそ</rt></ruby>いだよ。,I poured juice into everyone's glass.
注文,ちゅうもん,order; request,レストランでピザを <ruby>注文<rt>ちゅうもん</rt></ruby>しました。,I ordered pizza at the restaurant.
流行,りゅうこう,fashion; fad,このスタイルは <ruby>今年<rt>ことし</rt></ruby>の <ruby>流行<rt>りゅうこう</rt></ruby>です。,This style is in fashion this year.
涙,なみだ,tears,<ruby>母<rt>はは</rt></ruby>は <ruby>涙<rt>なみだ</rt></ruby>を <ruby>流<rt>なが</rt></ruby>していた。,My mother was crying.
深刻,しんこく,serious; grave,これは <ruby>深刻<rt>しんこく</rt></ruby>な <ruby>問題<rt>もんだい</rt></ruby>です。,This is a serious problem.
減る,へる,to decrease (in size or number); to diminish,<ruby>体重<rt>たいじゅう</rt></ruby>がかなり <ruby>減<rt>へ</rt></ruby>りました。,I've lost a lot of weight.
温暖,おんだん,warm; mild; temperate,この <ruby>地方<rt>ちほう</rt></ruby>は <ruby>温暖<rt>おんだん</rt></ruby>で <ruby>暮<rt>く</rt></ruby>らしやすいな。,The mild weather in this region makes it easy to live here.
満足,まんぞく,satisfaction; contentment; sufficient,<ruby>彼<rt>かれ</rt></ruby>は <ruby>結果<rt>けっか</rt></ruby>に <ruby>満足<rt>まんぞく</rt></ruby>したようです。,He seems to be satisfied with the result.
演奏,えんそう,(musical) performance,<ruby>彼女<rt>かのじょ</rt></ruby>のピアノの <ruby>演奏<rt>えんそう</rt></ruby>は <ruby>素晴<rt>すば</rt></ruby>らしいね。,Her piano performance is wonderful.
演技,えんぎ,acting; performance,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>演技<rt>えんぎ</rt></ruby>は <ruby>見事<rt>みごと</rt></ruby>だった。,Her acting was splendid.
激しい,はげしい,intense; fierce; vehement,<ruby>激<rt>はげ</rt></ruby>しい <ruby>雨<rt>あめ</rt></ruby>が <ruby>降<rt>ふ</rt></ruby>っています。,It's raining heavily.
無料,むりょう,free; no charge,お <ruby>飲<rt>の</rt></ruby>み <ruby>物<rt>もの</rt></ruby>は <ruby>無料<rt>むりょう</rt></ruby>でございます。,Beverages are free of charge.
無視,むし,disregarding; ignoring,<ruby>彼<rt>かれ</rt></ruby>の <ruby>意見<rt>いけん</rt></ruby>は <ruby>無視<rt>むし</rt></ruby>されたよ。,His opinion was disregarded.
無駄,むだ,uselessness; pointlessness,それは <ruby>時間<rt>じかん</rt></ruby>の <ruby>無駄<rt>むだ</rt></ruby>です。,It's a waste of time.
燃える,もえる,to burn,<ruby>山<rt>やま</rt></ruby>が <ruby>燃<rt>も</rt></ruby>えています。,The mountain's on fire.
物理,ぶつり,physics,<ruby>彼<rt>かれ</rt></ruby>は <ruby>物理<rt>ぶつり</rt></ruby>を <ruby>専攻<rt>せんこう</rt></ruby>している。,He majors in physics.
犯人,はんにん,criminal,あいつが <ruby>犯人<rt>はんにん</rt></ruby>です。,That guy's the criminal.
状態,じょうたい,current status; condition,ここは <ruby>道<rt>みち</rt></ruby>の <ruby>状態<rt>じょうたい</rt></ruby>がとても <ruby>悪<rt>わる</rt></ruby>いです。,The road here is in a very bad condition.
独身,どくしん,single; unmarried,<ruby>私<rt>わたし</rt></ruby>の <ruby>兄<rt>あに</rt></ruby>はまだ <ruby>独身<rt>どくしん</rt></ruby>です。,My big brother's still single.
猿,さる,monkey,<ruby>山<rt>やま</rt></ruby>で <ruby>猿<rt>さる</rt></ruby>の <ruby>親子<rt>おやこ</rt></ruby>を <ruby>見<rt>み</rt></ruby>ました。,I saw mother and child monkeys in the mountain.
現在,げんざい,current; present time,<ruby>現在<rt>げんざい</rt></ruby>の <ruby>気温<rt>きおん</rt></ruby>は３０ <ruby>度<rt>ど</rt></ruby>です。,The current temperature is 30 degrees.
現場,げんば,actual spot; actual site; shop/factory floor,<ruby>事故<rt>じこ</rt></ruby> <ruby>現場<rt>げんば</rt></ruby>には <ruby>入<rt>はい</rt></ruby>れません。,You can't enter the accident scene.
現実,げんじつ,reality; actuality,<ruby>現実<rt>げんじつ</rt></ruby>は <ruby>予想<rt>よそう</rt></ruby>より <ruby>厳<rt>きび</rt></ruby>しかった。,The reality was harsher than I expected.
球,きゅう,sphere; (baseball) counter for balls,<ruby>彼<rt>かれ</rt></ruby>は <ruby>球<rt>きゅう</rt></ruby> <ruby>技<rt>ぎ</rt></ruby>が <ruby>大好<rt>だいす</rt></ruby>きです。,He loves ball games.
理想,りそう,ideal,<ruby>彼<rt>かれ</rt></ruby>は <ruby>高<rt>たか</rt></ruby>い <ruby>理想<rt>りそう</rt></ruby>をもっているの。,He has high ideals.
